is_incumbent,cycle ,not_seeking_reelection,other_office_sought ,other_fec_id ,name,pty ,party ,fec_id ,pcc ,election_year,state,office,office_district,term_class,total_receipts,total_contributions,total_disbursements,outstanding_loans,cash_on_hand,cash_on_hand_date,total_independent_expenditures,independent_expenditures_supporting,independent_expenditures_opposing
False,2016,False,,,"FARKAS, TIMOTHY R",IND,,P60007416,C00577551,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ALAM, RABBI MD",,,S6MO00388,C00578799,2016,MO,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CLAYTOR, CHRISTOPHER J.",LIB,,H2TX27117,,2016,TX,H,03,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"O'GRADY, TIMOTHY PATRICK",IND,,P60006533,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"DAVIES, AARON",IND,,H6OK02225,C00573196,2016,OK,H,02,,1537.23,1328.00,1366.49,0.00,170.74,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"SOLTYSIK, EMIDIO",SOC,,P60018017,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"AMODEI, MARK EUGENE",REP,R,H2NV02395,C00496760,2016,NV,H,02,,336612.11,202525.00,227775.17,13000.00,304215.34,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"SINGLETON, JEROME FRANCIS MR. JR.",DEM,D,P60007044,,2015,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SOL-GUTIERREZ, ANA",DEM,D,H6MD08473,,2016,MD,H,08,,215268.00,115235.45,45785.33,94500.00,169482.67,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"WILSON, DEBBIE F",DEM,D,H6MD05230,,2016,MD,H,05,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"GROTHMAN, GLENN S.",REP,R,H4WI06048,C00561597,2016,WI,H,06,,320344.24,208140.23,118322.14,145160.00,205531.22,2015-09-30,0.00,0.00,0.00
True,2016,False,,,"MORAN, JERRY",REP,R,S0KS00091,C00458315,2016,KS,S,,3,2813112.00,2725921.00,1076668.00,94087.00,3116658.00,2015-12-31,,,
False,2016,False,,,"ERVIN, VALERIE",DEM,D,H6MD08499,C00580241,2016,MD,H,08,,29751.00,24751.00,26713.62,0.00,-188.88,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"MONDA, CHRISTOPHER",DEM,D,P60010147,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"QUIGLEY, MIKE",DEM,D,H0IL05096,C00457556,2016,IL,H,05,,566322.84,263855.11,353924.09,0.00,720859.18,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"BENTLEY, JAMES",IND,,P60016110,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CAESAR, PRESIDENT EMPEROR",DEM,D,P80003221,C00429514,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BOIE, JAMISON G",IND,,P60010766,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CURREN, WILLIAM FRANCIS V",COM,,P60011343,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"MILLER, JEFFERSON B.",REP,R,H2FL01100,C00366757,2016,FL,H,01,,804769.01,446522.33,466340.00,0.00,510529.71,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"RANTZ, AUGUST J IV",REP,R,H6LA03122,,2016,LA,H,03,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"KIEVMAN, MEIKO MIYAGAWA",IND,,P60019577,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"WALKER, HUGH SGT",OTH,,P60007549,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"LEAHY, BRENNEN MICHAEL",FRE,,P60013554,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"HARLOW, BOB",DEM,D,H6CA18115,C00608786,2016,CA,H,18,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"THOMPSON, MIKE MR.",DEM,D,H8CA01109,C00326363,2016,CA,H,05,,961643.51,422661.98,1025931.46,6994.80,1411893.73,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"PETERSEN, ROGER",REP,R,H6CA11169,,2016,CA,H,11,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"RICH, RANDY CLYDE",IND,,P60013653,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"DUNBAR, MARK OWEN MR",REP,R,P60019718,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"DE BUONAPARTE, HRM CAESAR ST AUGUSTINE",OTH,,P40001109,C00438705,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SANDERS, JAIME",REP,R,H6NY09137,,2016,NY,H,09,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SHRUM, RICHARD LYNN MR",IND,,P60006251,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PIATT, MARTY MR.",UNK,,P60007283,C00577429,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MILLER, DARLENE",REP,R,H6MN02198,C00602847,2016,MN,H,02,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SPEARS, ALAN ERROL ESQ.",AIP,,P60005790,C00575969,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PRICE, AARON",REP,R,H6NY22122,C00609321,2016,NY,H,22,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"GROVOM, STANLEY ARTHUR",WTP,,P60011418,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"WALDEN, GREGORY P MR.",REP,R,H6OR02116,C00333427,2016,OR,H,02,,1647514.30,488369.69,949746.46,0.00,1695027.57,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"WEIGEL, BENJAMIN FRANKLIN",IND,,P60008562,C00580548,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"UTTER, ELI",DEM,D,P60018850,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BRYSON, RICK",DEM,D,H6NC11198,,2016,NC,H,11,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BOWHALL, WILLIAM ERNEST JR",IND,,P60005899,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"PIERLUISI, PEDRO",DEM,D,H8PR00062,C00435636,2016,PR,H,00,,58600.00,24750.00,47380.20,0.00,11782.83,2015-12-31,0.00,0.00,0.00
True,2016,False,,,"PETERSON, COLLIN CLARK",DEM,D,H2MN07014,C00253187,2016,MN,H,07,,490538.45,89815.00,194472.12,0.00,346748.15,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"HENLEY, GARDENIA M",DEM,D,H4NC05260,C00562181,2016,NC,H,12,,2328.00,28.00,1908.00,6895.00,490.61,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"LAW, PHILIP JOSEPH",REP,R,H6NC03138,C00573766,2016,NC,H,03,,113574.32,88999.24,76036.86,8500.00,37537.46,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"COLE, MICHAEL KENNETH MR JR",DEM,D,H6TX14124,C00551523,2016,TX,H,14,,21586.00,5336.00,24509.10,18900.00,739.19,2015-12-31,0.00,0.00,0.00
True,2016,False,,,"KUSTER, ANN MCLANE",DEM,D,H0NH02181,C00462861,2016,NH,H,02,,1605828.45,963820.99,314775.10,0.00,1321247.73,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"MCGEE, ROBERT DERK",REP,R,P60015591,C00587311,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CROSTON, TIMOTHY",NNE,,P60006863,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ROGERS, ROBERT L",REP,R,H6AL02159,,2016,AL,H,02,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"COLEMAN, BONNIE WATSON",DEM,D,H4NJ12149,C00558437,2016,NJ,H,12,,434716.05,195116.05,322534.56,25550.00,119825.95,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"TUCKER, GARY",W,,P60007424,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"HEWES, HENRY",DEM,D,P80004765,C00438911,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"POWELL, ADAM CLAYTON IV",DEM,D,H4NY15071,C00542761,2016,NY,H,13,,144675.11,138983.51,93805.92,0.00,77017.09,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"BRYAN, PAT",DEM,D,H6TX02160,,2016,TX,H,03,,4465.49,0.00,3779.88,4465.49,1370.73,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"COVINGTON, RACHEL",REP,R,H6IN08251,,2016,IN,H,08,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"HAMMON, ANITA",REP,R,P60009610,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"DONALDSON, KENNETH",REP,R,P60006434,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"TAYLOR, TROY EMERY",REP,R,P60013190,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PENDLETON, MARK C",IND,,P20004958,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BOWERS, KERRY DALE",REP,R,P60005279,C00562728,2016,US,P,00,,1868.30,0.00,1868.30,0.00,0.00,2015-09-30,0.00,0.00,0.00
False,2016,False,,,"HURLEY, RUSS",DEM,D,H6OH02284,,2016,OH,H,02,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PAWTER OF GRYFFINDOR, HAIRY JAY-MZ MC",I,,P60012515,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"COATS, DANIEL R",REP,R,S0IN00053,C00476374,2016,IN,S,,3,65608.00,64950.00,351016.00,0.00,652065.00,2015-12-31,,,
True,2016,False,,,"BUCSHON, LARRY D",REP,R,H0IN08114,C00468256,2016,IN,H,08,,471223.81,152059.00,330563.82,0.00,445928.85,2015-12-31,0.00,0.00,0.00
True,2016,False,,,"TROTT, DAVID A",REP,R,H4MI11097,C00548941,2016,MI,H,11,,681820.78,471591.97,230081.81,264637.13,502186.98,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"BLY, RAY",REP,R,H8MD07042,,2016,MD,H,07,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ZORN, ROBERT ERWIN",UNK,,P60017704,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"DIGGS, MICHAEL WAYNE",REP,R,P60004975,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PALYN, BRYSTOL S. MS.",NPA,,P60009131,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"HUIZENGA, WILLIAM P THE HON.",REP,R,H0MI02094,C00459297,2016,MI,H,02,,515500.77,192021.00,447006.31,0.00,384105.20,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"DOYLE, MICHAEL F JR.",DEM,D,H6PA14176,C00290064,2016,PA,H,14,,339253.01,69313.00,290213.16,0.00,259571.43,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"ACHADJIAN, KATCHIK",REP,R,H6CA24295,,2016,CA,H,24,,418655.34,374967.34,161571.22,35201.19,257084.12,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"EMANUELE, JAMES",REP,R,S6NY00375,,2016,NY,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ELLIOTT, CLAIRE ELISABETH",IND,,P80003643,C00432138,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"DRABIK, GERALD ""JERRY""",REP,R,H6IL06174,,2016,IL,H,06,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PENN, MARGIE NELL",DEM,D,P60006921,,2015,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"HIRD, DIANA",DEM,D,H6NY18229,C00603597,2016,NY,H,18,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BONPASSE, MORRISON MCKELVY",DEM,D,P60005642,C00571232,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"SHUSTER, WILLIAM MR.",REP,R,H2PA09035,C00364935,2016,PA,H,09,,1890291.84,705313.64,931235.10,0.00,1374354.36,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"MATTINGLY, BRANDON",UNK,,P60014487,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SCUPIN, MICHAEL LEE",REP,R,H6GA09235,C00609149,2016,GA,H,09,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BERMAN, FONZI",UN,,P60016656,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"VELTMEYER, JAMES",REP,R,H6CA53054,C00575860,2016,CA,H,53,,60932.00,59432.00,52924.01,7299.25,8007.99,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"SOTO, DARREN",DEM,D,H6FL09179,C00581074,2016,FL,H,09,,340236.60,245202.62,126256.90,0.00,213979.70,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"MONTES, JOSEPH",REP,R,H6CA01186,C00608265,2016,CA,H,01,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"WRIGHT, KEITH L T",DEM,D,H6NY13105,C00579433,2016,NY,H,13,,400055.58,358605.58,130500.99,0.00,269554.59,2015-12-31,0.00,0.00,0.00
True,2016,False,,,"BILIRAKIS, GUS M",REP,R,H6FL09070,C00408534,2016,FL,H,12,,652635.41,265580.30,448789.51,0.00,632951.73,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"GRAY, JIM",DEM,D,S6KY00120,,2016,KY,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
