"","Date","Clinton","Sanders","Biden","Chafee","Lessig","O.Malley","Webb","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"1",2012-11-30,61,NA,12,NA,NA,2,NA,12,"5","Friday","11","November",4,"2012"
"2",2013-01-03,57,NA,16,NA,NA,3,NA,10,"4","Thursday","01","January",1,"2013"
"3",2013-01-12,48,NA,12,NA,NA,1,NA,NA,"6","Saturday","01","January",1,"2013"
"4",2013-01-19,44,NA,11,NA,NA,2,NA,27,"6","Saturday","01","January",1,"2013"
"5",2013-01-31,58,NA,19,NA,NA,1,NA,9,"4","Thursday","01","January",1,"2013"
"6",2013-03-27,64,NA,18,NA,NA,1,NA,6,"3","Wednesday","03","March",1,"2013"
"7",2013-04-25,65,NA,13,NA,NA,1,NA,14,"4","Thursday","04","April",2,"2013"
"8",2013-05-06,63,NA,13,NA,NA,2,NA,10,"1","Monday","05","May",2,"2013"
"9",2013-05-11,59,NA,9,NA,NA,1,NA,24,"6","Saturday","05","May",2,"2013"
"10",2013-05-18,64,NA,11,NA,NA,0,NA,20,"6","Saturday","05","May",2,"2013"
"11",2013-05-25,60,NA,14,NA,NA,3,NA,17,"6","Saturday","05","May",2,"2013"
"12",2013-07-15,63,NA,13,NA,NA,1,NA,18,"1","Monday","07","July",3,"2013"
"13",2013-07-19,52,NA,12,NA,NA,1,NA,17,"5","Friday","07","July",3,"2013"
"14",2013-08-01,63,NA,12,NA,NA,1,NA,9,"4","Thursday","08","August",3,"2013"
"15",2013-09-06,65,NA,10,NA,NA,2,NA,7,"5","Friday","09","September",3,"2013"
"16",2013-09-16,77,NA,11,NA,NA,NA,NA,6,"1","Monday","09","September",3,"2013"
"17",2013-09-23,61,NA,11,NA,NA,0,NA,17,"1","Monday","09","September",3,"2013"
"18",2013-09-30,57,NA,8,NA,NA,1,NA,23,"1","Monday","09","September",3,"2013"
"19",2013-10-26,44,NA,10,NA,NA,3,NA,32,"6","Saturday","10","October",4,"2013"
"20",2013-10-29,67,NA,12,NA,NA,2,NA,12,"2","Tuesday","10","October",4,"2013"
"21",2013-11-18,63,NA,12,NA,NA,2,NA,6,"1","Monday","11","November",4,"2013"
"22",2013-12-03,65.5,NA,10,NA,NA,0.5,NA,11,"2","Tuesday","12","December",4,"2013"
"23",2013-12-12,66,NA,10,NA,NA,2,NA,7,"4","Thursday","12","December",4,"2013"
"24",2013-12-14,68,NA,12,NA,NA,1,NA,6,"6","Saturday","12","December",4,"2013"
"25",2014-01-15,65,NA,8,NA,NA,1,NA,13,"3","Wednesday","01","January",1,"2014"
"26",2014-01-20,73,NA,12,NA,NA,NA,NA,5,"1","Monday","01","January",1,"2014"
"27",2014-01-23,67,NA,7,NA,NA,1,NA,10,"4","Thursday","01","January",1,"2014"
"28",2014-03-06,66,NA,11,NA,NA,2,NA,7,"4","Thursday","03","March",1,"2014"
"29",2014-03-07,64,NA,13,NA,NA,4,NA,6,"5","Friday","03","March",1,"2014"
"30",2014-03-26,64,NA,11,NA,NA,NA,NA,16,"3","Wednesday","03","March",1,"2014"
"31",2014-04-13,69,NA,14,NA,NA,1,NA,3,"0","Sunday","04","April",2,"2014"
"32",2014-05-29,66,2,12,NA,NA,1,2,6,"4","Thursday","05","May",2,"2014"
"33",2014-06-24,58,NA,9,NA,NA,1,NA,16,"2","Tuesday","06","June",2,"2014"
"34",2014-07-18,67,NA,8,NA,NA,2,NA,3,"5","Friday","07","July",3,"2014"
"35",2014-07-20,64,NA,12,NA,NA,1,NA,4,"0","Sunday","07","July",3,"2014"
"36",2014-10-09,64,1,13,NA,NA,1,2,8,"4","Thursday","10","October",4,"2014"
"37",2014-11-18,57,4,9,NA,NA,1,1,15,"2","Tuesday","11","November",4,"2014"
"38",2014-11-21,65,5,9,NA,NA,0,1,4,"5","Friday","11","November",4,"2014"
"39",2014-12-03,62,4,11,NA,NA,1,1,11,"3","Wednesday","12","December",4,"2014"
"40",2014-12-07,62,3,10,NA,NA,1,1,5,"0","Sunday","12","December",4,"2014"
"41",2014-12-11,61,4,14,NA,NA,0,3,4,"4","Thursday","12","December",4,"2014"
"42",2014-12-18,66,3,8,NA,NA,1,1,4,"4","Thursday","12","December",4,"2014"
"43",2015-01-10,61,3,7,NA,NA,0,2,9,"6","Saturday","01","January",1,"2015"
"44",2015-01-18,59,4,6,NA,NA,2,3,9,"0","Sunday","01","January",1,"2015"
"45",2015-01-22,60,2,15,NA,NA,1,1,11,"4","Thursday","01","January",1,"2015"
"46",2015-01-25,55,3,17,NA,NA,2,1,3,"0","Sunday","01","January",1,"2015"
"47",2015-02-12,61,3,14,NA,NA,1,2,3,"4","Thursday","02","February",1,"2015"
"48",2015-02-20,54,5,16,NA,NA,1,2,10,"5","Friday","02","February",1,"2015"
"49",2015-02-21,68,8,12,NA,NA,0,2,5,"6","Saturday","02","February",1,"2015"
"50",2015-02-26,56,4,10,NA,NA,0,1,15,"4","Thursday","02","February",1,"2015"
"51",2015-03-01,60,5,13,NA,NA,1,1,9,"0","Sunday","03","March",1,"2015"
"52",2015-03-07,59,7,13,NA,NA,4,0,9,"6","Saturday","03","March",1,"2015"
"53",2015-03-13,62,3,15,NA,NA,1,1,3,"5","Friday","03","March",1,"2015"
"54",2015-03-14,61,9,8,NA,NA,2,1,11,"6","Saturday","03","March",1,"2015"
"55",2015-03-21,64,7,11,NA,NA,3,1,7,"6","Saturday","03","March",1,"2015"
"56",2015-03-26,60,5.5,9.5,NA,NA,1.5,1.5,9,"4","Thursday","03","March",1,"2015"
"57",2015-03-29,61,3,12,NA,NA,2,1,3,"0","Sunday","03","March",1,"2015"
"58",2015-03-30,60,7,16,NA,NA,2,1,14,"1","Monday","03","March",1,"2015"
"59",2015-04-11,71,7,7,NA,NA,1,0,8,"6","Saturday","04","April",2,"2015"
"60",2015-04-16,64.5,6.5,10.5,0.5,NA,2,2,11,"4","Thursday","04","April",2,"2015"
"61",2015-04-18,65,8,9,NA,NA,2,2,9,"6","Saturday","04","April",2,"2015"
"62",2015-04-19,62,4,9,0,NA,1,0,5,"0","Sunday","04","April",2,"2015"
"63",2015-04-25,59,10,7,NA,NA,2,1,15,"6","Saturday","04","April",2,"2015"
"64",2015-05-02,58,17,13,NA,NA,2,0,8,"6","Saturday","05","May",2,"2015"
"65",2015-05-07,63,13,NA,5,NA,2,6,11,"4","Thursday","05","May",2,"2015"
"66",2015-05-08,56,5,8,NA,NA,1,NA,NA,"5","Friday","05","May",2,"2015"
"67",2015-05-09,63.5,11,6.5,NA,NA,0,1.5,7,"6","Saturday","05","May",2,"2015"
"68",2015-05-16,60,12,11,NA,NA,2,3,11,"6","Saturday","05","May",2,"2015"
"69",2015-05-19,57,15,9,1,NA,1,1,16,"2","Tuesday","05","May",2,"2015"
"70",2015-05-23,59,17,8,0,NA,3,1,10,"6","Saturday","05","May",2,"2015"
"71",2015-05-28,62,10,14,1,NA,3,1,6,"4","Thursday","05","May",2,"2015"
"72",2015-05-29,60,10,14,0,NA,1,2,6,"5","Friday","05","May",2,"2015"
"73",2015-05-30,61,11,13,1,NA,2,0,11,"6","Saturday","05","May",2,"2015"
"74",2015-05-31,57,11,8,1,NA,4,2,6,"0","Sunday","05","May",2,"2015"
"75",2015-06-06,57,11,13,2,NA,1,0,15,"6","Saturday","06","June",2,"2015"
"76",2015-06-11,61,10.5,NA,2,NA,3,3,14,"4","Thursday","06","June",2,"2015"
"77",2015-06-13,62,16,13,1,NA,1,1,6,"6","Saturday","06","June",2,"2015"
"78",2015-06-14,75,15,NA,0,NA,2,4,3,"0","Sunday","06","June",2,"2015"
"79",2015-06-20,55,18,11,0,NA,2,0,12,"6","Saturday","06","June",2,"2015"
"80",2015-06-21,61,15,11,0,NA,1,2,5,"0","Sunday","06","June",2,"2015"
"81",2015-06-26,58,15,17,0,NA,1,1,5,"5","Friday","06","June",2,"2015"
"82",2015-06-27,59,19,9,0,NA,2,1,9,"6","Saturday","06","June",2,"2015"
"83",2015-07-04,55,24,8,0,NA,0,1,8,"6","Saturday","07","July",3,"2015"
"84",2015-07-09,57.6666666666667,15.6666666666667,NA,0,NA,0.666666666666667,1.66666666666667,16.6666666666667,"4","Thursday","07","July",3,"2015"
"85",2015-07-13,59,19,8,1,NA,1,1,5,"1","Monday","07","July",3,"2015"
"86",2015-07-16,63,14,12,0,NA,1,2,6,"4","Thursday","07","July",3,"2015"
"87",2015-07-17,52,16,11,NA,NA,0,0,9,"5","Friday","07","July",3,"2015"
"88",2015-07-18,56,18,13,1,NA,0,0,10,"6","Saturday","07","July",3,"2015"
"89",2015-07-20,57,22,NA,3,NA,2,5,12,"1","Monday","07","July",3,"2015"
"90",2015-07-22,56,19,15,0,NA,0,1,4,"3","Wednesday","07","July",3,"2015"
"91",2015-07-23,55,17,13,0,NA,1,1,12,"4","Thursday","07","July",3,"2015"
"92",2015-07-25,58,15,12,0,NA,1,1,9,"6","Saturday","07","July",3,"2015"
"93",2015-07-26,56.5,29,NA,1,NA,2.5,2,NA,"0","Sunday","07","July",3,"2015"
"94",2015-07-29,56.5,17.5,9.5,1.5,NA,2,3.5,NA,"3","Wednesday","07","July",3,"2015"
"95",2015-07-30,51.5,19,12.5,0.5,NA,1.5,1.5,10,"4","Thursday","07","July",3,"2015"
"96",2015-07-31,55.5,18.5,NA,1,NA,1.5,2,11.5,"5","Friday","07","July",3,"2015"
"97",2015-08-01,52,17,14,1,NA,1,0,11,"6","Saturday","08","August",3,"2015"
"98",2015-08-03,48,15,21,NA,NA,3,2,10,"1","Monday","08","August",3,"2015"
"99",2015-08-07,56,19,NA,1,NA,4,2,12,"5","Friday","08","August",3,"2015"
"100",2015-08-08,55,18,11,0,NA,2,1,10,"6","Saturday","08","August",3,"2015"
"101",2015-08-11,49,30,10,0,NA,1,1,4,"2","Tuesday","08","August",3,"2015"
"102",2015-08-13,47,29,14,0,NA,2,1,3,"4","Thursday","08","August",3,"2015"
"103",2015-08-14,48.5,25,NA,1,NA,2,1,14,"5","Friday","08","August",3,"2015"
"104",2015-08-15,47,23,12,1,NA,1,1,11,"6","Saturday","08","August",3,"2015"
"105",2015-08-20,45,22,18,0,NA,1,1,13,"4","Thursday","08","August",3,"2015"
"106",2015-08-21,54,21,13,1,NA,2,2,NA,"5","Friday","08","August",3,"2015"
"107",2015-08-22,48,22,15,0,NA,1,2,9,"6","Saturday","08","August",3,"2015"
"108",2015-08-28,50.3333333333333,22.6666666666667,NA,0.666666666666667,NA,2.33333333333333,2,11.3333333333333,"5","Friday","08","August",3,"2015"
"109",2015-08-29,44,24,17,1,NA,0,0,10,"6","Saturday","08","August",3,"2015"
"110",2015-08-31,42,20,22,0,NA,1,1,14,"1","Monday","08","August",3,"2015"
"111",2015-09-04,44,27,NA,0.5,NA,2,1.5,9,"5","Friday","09","September",3,"2015"
"112",2015-09-05,45,24.5,17.5,NA,NA,2,0.5,8.5,"6","Saturday","09","September",3,"2015"
"113",2015-09-07,42,24,21,1,NA,2,1,9,"1","Monday","09","September",3,"2015"
"114",2015-09-09,47,27,15,1,NA,0,1,7,"3","Wednesday","09","September",3,"2015"
"115",2015-09-11,51.3333333333333,22.3333333333333,NA,NA,NA,1,1.33333333333333,6.66666666666667,"5","Friday","09","September",3,"2015"
"116",2015-09-12,46,25,18,0,NA,0,1,8,"6","Saturday","09","September",3,"2015"
"117",2015-09-16,41,29,15,0,0,1,1,9,"3","Wednesday","09","September",3,"2015"
"118",2015-09-17,42.5,24.5,20,0,NA,0.5,0,9,"4","Thursday","09","September",3,"2015"
"119",2015-09-18,44.6666666666667,25.3333333333333,NA,NA,NA,2,1.66666666666667,13,"5","Friday","09","September",3,"2015"
"120",2015-09-19,40,30,15,0,NA,2,0,10,"6","Saturday","09","September",3,"2015"
"121",2015-09-20,43,32.5,17.5,0,NA,1,1,4,"0","Sunday","09","September",3,"2015"
"122",2015-09-24,42.5,23,19.5,0.5,NA,0,0.5,11.5,"4","Thursday","09","September",3,"2015"
"123",2015-09-25,48,25,20,0,NA,2,1,5,"5","Friday","09","September",3,"2015"
"124",2015-09-26,44,21.5,20.5,NA,NA,NA,NA,NA,"6","Saturday","09","September",3,"2015"
"125",2015-09-30,44,25,23,2,NA,2,3,NA,"3","Wednesday","09","September",3,"2015"
"126",2015-10-01,43.5,23.5,18.5,0.5,0,1,1.5,9.5,"4","Thursday","10","October",4,"2015"
"127",2015-10-02,48,27,NA,2,NA,1,1,13,"5","Friday","10","October",4,"2015"
"128",2015-10-03,44,27,18,1,NA,2,NA,8,"6","Saturday","10","October",4,"2015"
"129",2015-10-04,46,27,16,0,0,0,2,5,"0","Sunday","10","October",4,"2015"
"130",2015-10-08,51,22.5,NA,1,NA,1.5,0.5,10.5,"4","Thursday","10","October",4,"2015"
"131",2015-10-10,48,24.5,17.5,0.5,NA,1.5,NA,5.5,"6","Saturday","10","October",4,"2015"
"132",2015-10-13,45,31,10,0,0,1,1,9,"2","Tuesday","10","October",4,"2015"
"133",2015-10-14,45,29,18,0,0,0,1,5,"3","Wednesday","10","October",4,"2015"
"134",2015-10-15,51.75,24.25,NA,0.25,NA,1,1.25,8.25,"4","Thursday","10","October",4,"2015"
"135",2015-10-16,68,20,NA,0,NA,3,1,6,"5","Friday","10","October",4,"2015"
"136",2015-10-17,45,29,16,1,NA,1,NA,9,"6","Saturday","10","October",4,"2015"
"137",2015-10-22,53,26,NA,NA,NA,5,NA,10,"4","Thursday","10","October",4,"2015"
"138",2015-10-23,61,29,NA,NA,1,2,NA,6,"5","Friday","10","October",4,"2015"
"139",2015-10-24,50.5,33,NA,NA,NA,2,NA,NA,"6","Saturday","10","October",4,"2015"
