"","Pollster","Start.Date","End.Date","Entry.Date.Time","Number.of.Observations","Population","Mode","Clinton","Sanders","Biden","Chafee","Lessig","O.Malley","Webb","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Poll.Length","DOW","Weekday","Month","MonthName","Quarter","Year"
"1","FOX",2016-02-15,2016-02-17,2016-02-18 23:08:04,429,"Likely Voters - Democrat","Live Phone",44,47,NA,NA,NA,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/fox-23803",NA,"Nonpartisan","None",2,"1","Monday","02","February",1,"2016"
"2","Ipsos/Reuters",2016-02-13,2016-02-17,2016-02-18 20:15:27,543,"Registered Voters - Democrat","Internet",53,42,NA,NA,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23799",NA,"Nonpartisan","None",4,"6","Saturday","02","February",1,"2016"
"3","Morning Consult",2016-02-15,2016-02-16,2016-02-17 11:44:02,829,"Registered Voters - Democrat","Internet",47,39,NA,NA,NA,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23766",NA,"Nonpartisan","None",1,"1","Monday","02","February",1,"2016"
"4","NBC/WSJ",2016-02-14,2016-02-16,2016-02-18 22:10:10,400,"Likely Voters - Democrat","Live Phone",53,42,NA,NA,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23801",NA,"Pollster","Dem",2,"0","Sunday","02","February",1,"2016"
"5","CBS",2016-02-12,2016-02-16,2016-02-19 15:45:12,264,"Likely Voters - Democrat","Live Phone",47,39,NA,NA,NA,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/cbs-23809",NA,"Nonpartisan","None",4,"5","Friday","02","February",1,"2016"
"6","Suffolk/USA Today",2016-02-11,2016-02-15,2016-02-17 17:22:40,319,"Likely Voters - Democrat","Live Phone",50,40,NA,NA,NA,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23779",NA,"Nonpartisan","None",4,"4","Thursday","02","February",1,"2016"
"7","YouGov/Economist",2016-02-11,2016-02-15,2016-02-18 16:28:27,527,"Likely Voters - Democrat","Internet",53,39,NA,NA,NA,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23794",NA,"Nonpartisan","None",4,"4","Thursday","02","February",1,"2016"
"8","Quinnipiac",2016-02-10,2016-02-15,2016-02-17 11:36:57,563,"Registered Voters - Democrat","Live Phone",44,42,NA,NA,NA,NA,NA,13,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23765",NA,"Nonpartisan","None",5,"3","Wednesday","02","February",1,"2016"
"9","NBC/SurveyMonkey",2016-02-08,2016-02-14,2016-02-16 12:55:27,3847,"Registered Voters - Democrat","Internet",50,40,NA,NA,NA,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23756",NA,"Nonpartisan","None",6,"1","Monday","02","February",1,"2016"
"10","Morning Consult",2016-02-10,2016-02-11,2016-02-12 15:34:31,811,"Registered Voters - Democrat","Internet",46,39,NA,NA,NA,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23744",NA,"Nonpartisan","None",1,"3","Wednesday","02","February",1,"2016"
