"","Pollster","Start.Date","End.Date","Entry.Date.Time","Number.of.Observations","Population","Mode","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Poll.Length","DOW","Weekday","Month","MonthName","Quarter","Year"
"1","FOX",2016-02-15,2016-02-17,2016-02-18 23:08:04,404,"Likely Voters - Republican","Live Phone",36,19,15,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/fox-23803",NA,"Nonpartisan","None",2,"1","Monday","02","February",1,"2016"
"2","Ipsos/Reuters",2016-02-13,2016-02-17,2016-02-18 20:15:27,476,"Registered Voters - Republican","Internet",40,17,11,10,9,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23799",NA,"Nonpartisan","None",4,"6","Saturday","02","February",1,"2016"
"3","Morning Consult",2016-02-15,2016-02-16,2016-02-17 11:44:02,662,"Registered Voters - Republican","Internet",41,12,14,11,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23766",NA,"Nonpartisan","None",1,"1","Monday","02","February",1,"2016"
"4","NBC/WSJ",2016-02-14,2016-02-16,2016-02-17 21:05:54,400,"Likely Voters - Republican","Live Phone",26,28,17,10,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23785",NA,"Pollster","Dem",2,"0","Sunday","02","February",1,"2016"
"5","CBS",2016-02-12,2016-02-16,2016-02-18 12:23:10,581,"Likely Voters - Republican","Live Phone",35,18,12,6,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/cbs-23788",NA,"Nonpartisan","None",4,"5","Friday","02","February",1,"2016"
"6","Suffolk/USA Today",2016-02-11,2016-02-15,2016-02-17 17:22:40,358,"Likely Voters - Republican","Live Phone",35,20,17,4,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23779",NA,"Nonpartisan","None",4,"4","Thursday","02","February",1,"2016"
"7","YouGov/Economist",2016-02-11,2016-02-15,2016-02-18 16:28:27,472,"Likely Voters - Republican","Internet",39,19,16,7,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23794",NA,"Nonpartisan","None",4,"4","Thursday","02","February",1,"2016"
"8","Quinnipiac",2016-02-10,2016-02-15,2016-02-17 11:36:57,602,"Registered Voters - Republican","Live Phone",39,18,19,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23765",NA,"Nonpartisan","None",5,"3","Wednesday","02","February",1,"2016"
"9","NBC/SurveyMonkey",2016-02-08,2016-02-14,2016-02-16 12:55:27,3411,"Registered Voters - Republican","Internet",38,18,14,8,7,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23756",NA,"Nonpartisan","None",6,"1","Monday","02","February",1,"2016"
"10","Morning Consult",2016-02-10,2016-02-11,2016-02-12 15:34:31,710,"Registered Voters - Republican","Internet",44,17,10,10,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23744",NA,"Nonpartisan","None",1,"3","Wednesday","02","February",1,"2016"
"11","Ipsos/Reuters",2016-02-06,2016-02-10,2016-02-11 16:07:52,513,"Registered Voters - Republican","Internet",35,23,14,11,2,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23740",NA,"Nonpartisan","None",4,"6","Saturday","02","February",1,"2016"
"12","Morning Consult",2016-02-03,2016-02-07,2016-02-09 22:39:37,1757,"Registered Voters - Republican","Internet",38,17,15,9,2,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23731",NA,"Nonpartisan","None",4,"3","Wednesday","02","February",1,"2016"
"13","NBC/SurveyMonkey",2016-02-01,2016-02-07,2016-02-10 16:02:26,2887,"Registered Voters - Republican","Internet",35,20,17,7,3,3,3,2,0,NA,0,NA,NA,NA,2,0,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23733",NA,"Nonpartisan","None",6,"1","Monday","02","February",1,"2016"
"14","Rasmussen",2016-02-03,2016-02-04,2016-02-08 13:48:05,725,"Likely Voters - Republican","Automated Phone",31,20,21,5,6,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-23710",NA,"Nonpartisan","None",1,"3","Wednesday","02","February",1,"2016"
"15","Quinnipiac",2016-02-02,2016-02-04,2016-02-05 12:41:40,507,"Registered Voters - Republican","Live Phone",31,22,19,6,3,3,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23675",NA,"Nonpartisan","None",2,"2","Tuesday","02","February",1,"2016"
"16","Morning Consult",2016-02-02,2016-02-03,2016-02-03 19:49:33,641,"Registered Voters","Internet",38,14,12,9,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23659",NA,"Nonpartisan","None",1,"2","Tuesday","02","February",1,"2016"
"17","PPP (D)",2016-02-02,2016-02-03,2016-02-04 15:29:43,531,"Likely Voters - Republican","IVR/Online",25,21,21,11,5,5,3,3,1,NA,NA,NA,NA,NA,5,0,NA,1,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23663",NA,"Pollster","Dem",1,"2","Tuesday","02","February",1,"2016"
"18","Ipsos/Reuters",2016-01-30,2016-02-03,2016-02-04 16:16:33,568,"Registered Voters - Republican","Internet",36,16,14,8,3,7,5,2,0,NA,2,NA,NA,NA,2,0,NA,4,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23665",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"19","Morning Consult",2016-01-29,2016-02-01,2016-02-01 21:20:47,1491,"Registered Voters - Republican","Internet",41,12,8,9,2,7,3,1,NA,NA,3,NA,NA,NA,3,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23648",NA,"Nonpartisan","None",3,"5","Friday","01","January",1,"2016"
"20","NBC/SurveyMonkey",2016-01-25,2016-01-31,2016-02-04 20:42:44,3057,"Registered Voters - Republican","Internet",39,20,12,7,3,3,3,2,0,NA,2,NA,NA,NA,3,1,NA,4,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23669",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"21","YouGov/Economist",2016-01-27,2016-01-30,2016-01-31 20:16:38,481,"Likely Voters - Republican","Internet",43,18,14,4,5,4,2,2,1,NA,2,NA,NA,NA,4,1,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23634",NA,"Nonpartisan","None",3,"3","Wednesday","01","January",1,"2016"
"22","IBD/TIPP",2016-01-22,2016-01-27,2016-01-28 20:46:50,395,"Registered Voters - Republican","Live Phone",31,21,10,9,2,5,1,2,0,NA,1,NA,NA,NA,4,1,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23624",NA,"Nonpartisan","None",5,"5","Friday","01","January",1,"2016"
"23","Bloomberg/Purple Strategies",2016-01-22,2016-01-26,2016-01-27 22:37:22,1021,"Likely Voters - Republican","Internet",34,12,14,9,4,7,2,2,0,NA,3,NA,NA,NA,3,1,NA,9,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-purple-strategies-23612",NA,"Nonpartisan","None",4,"5","Friday","01","January",1,"2016"
"24","Morning Consult",2016-01-21,2016-01-24,2016-01-26 20:19:29,1552,"Registered Voters - Republican","Internet",40,11,9,10,2,7,3,1,NA,NA,3,NA,NA,NA,2,1,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23600",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"25","CNN",2016-01-21,2016-01-24,2016-01-26 12:30:45,405,"Registered Voters - Republican","Live Phone",41,19,8,6,1,5,4,2,0,NA,3,NA,NA,NA,3,0,NA,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-23592",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"26","ABC/Post",2016-01-20,2016-01-24,2016-01-26 12:15:42,356,"Registered Voters - Republican","Live Phone",37,21,11,7,2,5,4,3,NA,NA,2,NA,NA,NA,1,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23591",NA,"Nonpartisan","None",4,"3","Wednesday","01","January",1,"2016"
"27","Public Religion Research Institute",2016-01-20,2016-01-24,2016-01-28 00:32:10,381,"Adults - Republican","Live Phone",31,14,9,14,3,5,2,2,NA,NA,1,NA,NA,NA,3,NA,NA,15,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23613",NA,"Nonpartisan","None",4,"3","Wednesday","01","January",1,"2016"
"28","NBC/SurveyMonkey",2016-01-18,2016-01-24,2016-01-26 20:10:37,2327,"Registered Voters - Republican","Internet",39,17,10,8,3,4,3,2,0,NA,1,NA,NA,NA,3,0,NA,9,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23599",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"29","FOX",2016-01-18,2016-01-21,2016-01-22 23:15:55,405,"Likely Voters - Republican","Live Phone",34,20,11,8,4,4,3,1,1,NA,2,NA,NA,NA,2,0,NA,8,"http://elections.huffingtonpost.com/pollster/polls/fox-23563",NA,"Nonpartisan","None",3,"1","Monday","01","January",1,"2016"
"30","Zogby (Internet)",2016-01-19,2016-01-20,2016-01-22 20:37:51,294,"Likely Voters - Republican","Internet",45,13,8,4,3,6,2,3,NA,NA,2,NA,NA,NA,2,2,NA,10,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23562",NA,"Nonpartisan","None",1,"2","Tuesday","01","January",1,"2016"
"31","Ipsos/Reuters",2016-01-16,2016-01-20,2016-01-21 15:54:49,588,"Adults - Republican","Internet",36,12,8,11,2,10,4,3,1,NA,2,NA,NA,NA,4,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23542",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"32","YouGov/Economist",2016-01-15,2016-01-19,2016-01-21 13:23:27,476,"Likely Voters - Republican","Internet",38,19,14,7,2,3,3,2,0,NA,2,NA,NA,NA,4,1,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23539",NA,"Nonpartisan","None",4,"5","Friday","01","January",1,"2016"
"33","Monmouth University",2016-01-15,2016-01-18,2016-01-20 16:03:48,385,"Registered Voters - Republican","Live Phone",36,17,11,8,3,5,3,1,0,NA,3,NA,NA,NA,2,1,NA,10,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23533",NA,"Nonpartisan","None",3,"5","Friday","01","January",1,"2016"
"34","Morning Consult",2016-01-14,2016-01-17,2016-01-19 19:11:34,1635,"Registered Voters - Republican","Internet",39,13,9,8,2,7,3,2,NA,NA,3,NA,NA,NA,3,1,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23526",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"35","NBC/SurveyMonkey",2016-01-11,2016-01-17,2016-01-19 18:44:51,3342,"Registered Voters - Republican","Internet",38,21,11,8,2,4,3,3,0,NA,2,NA,NA,NA,3,0,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23524",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"36","Ipsos/Reuters",2016-01-09,2016-01-13,2016-01-14 16:55:11,575,"Adults - Republican","Internet",38,14,6,11,2,10,4,3,0,NA,3,NA,NA,NA,3,1,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23501",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"37","NBC/WSJ",2016-01-09,2016-01-13,2016-01-14 22:05:15,400,"Likely Voters - Republican","Live Phone",33,20,13,12,3,5,5,3,NA,NA,1,NA,NA,NA,3,NA,NA,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23504",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"38","YouGov/Economist",2016-01-09,2016-01-11,2016-01-13 16:09:41,552,"Likely Voters - Republican","Internet",36,20,11,6,3,5,4,3,0,NA,3,NA,NA,NA,3,2,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23492",NA,"Nonpartisan","None",2,"6","Saturday","01","January",1,"2016"
